Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
0. Water on Tupperware top										433988	4						4/24/21, 4:52 PM	4/24/21, 4:52 PM	768	48000		WAV audio file			2	4/18/21, 8:57 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Unknown Artist/Unknown Album/0. Water on Tupperware top.wav
1. Savannah outdoor sounds										130317	15						4/24/21, 2:33 PM	4/15/21, 10:31 PM	64	48000		AAC audio file			1	4/18/21, 8:58 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Unknown Artist/Unknown Album/1. Savannah outdoor sounds.m4a
2. Book page turn										93531	10						4/24/21, 2:33 PM	4/15/21, 10:31 PM	64	48000		AAC audio file			2	4/18/21, 8:58 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Unknown Artist/Unknown Album/2. Book page turn.m4a
3. AGA, LP-2, Ch-Ec-Dis-Re-Wa, Voice, hopeful/striving										97494	11						4/24/21, 2:34 PM	4/15/21, 10:33 PM	64	48000		AAC audio file			8	4/18/21, 10:34 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Unknown Artist/Unknown Album/3. AGA, LP-2, Ch-Ec-Dis-Re-Wa, Voice, hopeful_striving.m4a
4. Beatbox	Sam’s iPhone		Voice Memos						Voice Memo	99418	11						4/24/21, 2:34 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			6	4/18/21, 9:08 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/4. Beatbox.m4a
5. EGA, LP-2, Dis, driving	Sam’s iPhone		Voice Memos						Voice Memo	154169	18						4/24/21, 2:34 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			9	4/18/21, 9:08 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/5. EGA, LP-2, Dis, driving.m4a
6. AG, major	Sam’s iPhone		Voice Memos						Voice Memo	69682	8						4/24/21, 2:34 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			10	4/24/21, 3:30 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/6. AG, major.m4a
7. AG, insistent	Sam’s iPhone		Voice Memos						Voice Memo	71278	8						4/24/21, 2:35 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			11	4/24/21, 2:41 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/7. AG, insistent.m4a
8. AG, thoughtful/nostalgic	Sam’s iPhone		Voice Memos						Voice Memo	225475	27						4/24/21, 2:36 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			4	4/18/21, 9:08 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/8. AG, thoughtful_nostalgic.m4a
9. AG, major/happy/quick riff	Sam’s iPhone		Voice Memos						Voice Memo	118919	14						4/24/21, 3:03 PM	12/12/19, 5:19 PM	64	44100		AAC audio file			7	4/24/21, 3:03 PM				Macintosh HD/Users/samlyon/Music/iTunes/iTunes Media/Music/Sam_s iPhone/Voice Memos/9. AG, major_happy_quick riff.m4a
